codigo,cantidad
1119396BKML-070,1
1119396BLCN-070,1
1119396BSSNG-080,1
1119396ERGL-100,1
1119396MOCY-070,1
1119396PDL-070,1
1119396PDL-080,1
1119396SCPP-090,1
1119396SOAB-060,1
1123154EEGG-065,3
1123158DLCR-065,1
1123158HMSP-060,1
1123158HMSP-070,1
1123158HMSP-075,4
1123158HMSP-100,2
1123158MTLL-065,1
1123158RPY-065,5
1123158SBBK-070,1
1123158SBBK-090,1
1123158SONS-070,1
1123158SONS-100,11
1123166BCSTL-075,6
1123193BWHT-080,1
1127896BBLC-085,1
1127896BKML-075,2
1127896BWHT-100,6
1127896DNK-060,1
1127896EVN-060,1
1127896EVN-065,1
1127896EVN-070,1
1127896EVN-075,1
1127896EVN-080,1
1127896EVN-085,1
1127896EVN-090,1
1127896VLS-065,3
1127896VLS-085,1
1127915NSOF-065,1
1127952BSW-090,1
1127952CMV-080,1
1127952CVPL-090,1
1127952WWH-065,1
1127952WWH-070,2
1131056CPPF-100,2
1131056DLCR-065,1
1131056DLCR-070,9
1131056DLCR-075,7
1131056DLCR-080,6
1131056DLCR-085,2
1131056DTWGR-070,1
1131056NSOF-065,1
1131056PPYR-060,3
1131056PPYR-065,9
1131056PPYR-070,12
1131056PPYR-075,9
1131056PPYR-080,11
1131056PPYR-085,6
1131056PPYR-090,1
1131056PPYR-100,3
1131170PNYM-050,1
1132211BWHT-065,5
1132211BWHT-080,1
1134150BBLC-120-140,1
1134235RHD-075,1
1134470BBCY-040,1
1134470BBCY-045,1
1134470BBCY-050,1
1134470BBCY-055,1
1134470BBCY-060,1
1134470BBCY-065,1
1134498FBT-075,1
1134498FBT-080,1
1134498HMSP-080,1
1134498MGTR-080,1
1134507OFNS-060,3
1134507OFNS-065,3
1134507OFNS-070,5
1134507OFNS-075,7
1134507OFNS-080,5
1134507OFNS-085,7
1134507OFNS-090,3
1134507OFNS-100,1
1135061EPDL-040-060,2
1135061EPDL-050-070,4
1135061EPDL-060-080,11
1135061EPDL-070-090,24
1135061EPDL-080-100,43
1135061EPDL-090-110,33
1135061EPDL-100-120,27
1135061EPDL-110-130,6
1135061EPDL-120-140,5
1141451BKSV-060,2
1141451BKSV-065,10
1141451BKSV-070,10
1141451BKSV-075,7
1141451BKSV-085,1
1141451BKSV-100,2
1141451DLL-060,3
1141451DLL-065,6
1141451DLL-070,10
1141451DLL-075,12
1141451DLL-080,13
1141451DLL-085,7
1141451DLL-090,1
1141451DLL-100,2
1141451LGSO-060,8
1141451LGSO-065,9
1141451LGSO-070,6
1141451LGSO-080,1
1141451LGSO-100,3
1141531SNBT-060,1
1141531SNBT-065,1
1141531SNBT-070,3
1141531SNBT-075,5
1141531SNBT-080,2
1141531SNBT-085,1
1141531WEPR-075,1
1141550WNCL-060-070,4
1141550WNCL-085-095,2
1141550WNCL-090-100,4
1141550WNCL-100-110,4
1141550WNCL-105-115,4
1141550WNCL-110-120,5
1142831DIFL-070,3
1142831DIFL-075,5
1142831DIFL-080,6
1142831DIFL-085,2
1142831NSOP-060,2
1142831NSOP-065,2
1142831NSOP-070,2
1142831NSOP-075,4
1142831NSOP-080,4
1142831NSOP-085,2
1142831NSOP-100,1
1147810ISK-065,1
1147810ISK-075,7
1147810ISK-080,3
1147810ISK-085,4
1147810ISK-090,4
1147810ISK-100,1
1147810PGH-070,1
1147811SRBT-060,3
1147811SRBT-065,9
1147811SRBT-070,10
1147811SRBT-075,10
1147811SRBT-080,7
1147811SRBT-090,1
1147811SRBT-100,2
1147851PPYC-065,5
1147851PPYC-070,14
1147851PPYC-075,11
1147913BWHT-070,3
1147913ERM-065,2
1147913ERM-070,4
1147913ERM-075,3
1147913ERM-080,5
1147913ERM-085,2
1147913VSN-060,4
1147913VSN-065,9
1147913VSN-070,20
1147913VSN-075,18
1147913VSN-080,15
1147913VSN-085,13
1147913VSN-090,5
1147951BBLC-040-060,2
1147951BBLC-050-070,6
1147951BBLC-060-080,4
1147951BBLC-070-090,1
1147951BBLC-080-100,9
1147951BBLC-090-110,13
1147951BBLC-100-120,10
1147951BBLC-110-130,9
1147951BBLC-120-140,1
1147951WHTW-040-060,2
1147951WHTW-050-070,5
1147951WHTW-060-080,5
1147951WHTW-080-100,10
1147951WHTW-090-110,14
1147951WHTW-100-120,13
1147951WHTW-110-130,10
1147951WHTW-120-140,2
1160050VLW-050-060,1
1160050VLW-080-090,1
