codigo,cantidad
1119395BNCD-095,1
1119395BNCD-120,1
1119395DLOM-105,1
1119395FAYW-080,1
1119395FAYW-090,1
1119395NCSW-115,6
1119395NCSW-120,2
1119395PDL-090,1
1119395VSW-075,4
1119395VSW-105,1
1119395VSW-115,1
1119395VSW-120,2
1119395VSW-130,4
1119395WEGG-100,1
1122571BLRK-080-090,6
1122571BLRK-085-095,6
1122571BLRK-090-100,12
1122571BLRK-095-105,6
1122571BLRK-100-110,6
1122571BLRK-105-115,5
1122571BLRK-110-120,2
1122571BLRK-130-140,1
1122571SSDD-085-095,2
1122571SSDD-090-100,7
1122571SSDD-095-105,1
1122571SSDD-100-110,3
1122571SSDD-105-115,1
1122571SSDD-110-120,5
1123153BBLC-080,6
1123153BBLC-085,4
1123153BBLC-090,1
1123153BBLC-130,3
1123153CKBC-080,2
1123153CKBC-085,1
1123153DEGG-080,5
1123153DEGG-085,8
1123153DEGG-090,9
1123153DEGG-100,3
1123153DEGG-105,9
1123157AHSH-090,2
1123157AHSH-095,3
1123157AHSH-100,4
1123157AHSH-110,2
1123157AHSH-120,2
1123157CFLM-075,3
1123157CFLM-085,7
1123157CFLM-095,2
1123157CFLM-105,4
1123157CFLM-120,2
1123157CGEP-075,1
1123157CGEP-080,2
1123157CGEP-085,3
1123157CGEP-090,4
1123157CGEP-095,1
1123157CGEP-100,3
1123157CGEP-105,2
1123157CGEP-110,1
1123157CGEP-115,2
1123157CGEP-120,1
1123157DBTH-095,1
1123157DBTH-110,1
1123157HMBC-080,2
1123157HMBC-095,1
1123157HMBC-105,8
1123157SBBK-085,2
1123157SBBK-100,1
1123157SBDCT-090,1
1123157SBDCT-100,1
1123157SDV-075,2
1123157SDV-080,2
1123157SDV-085,2
1123157SDV-090,10
1123157SDV-095,1
1123157SDV-100,11
1123157SDV-105,3
1123157SDV-110,2
1123157SDV-120,2
1123157TFST-085,1
1123157TFST-100,1
1123157TFST-110,1
1123159CFLM-075,3
1123159CFLM-080,2
1123159CFLM-085,4
1123159CFLM-090,4
1123159CFLM-095,2
1123159CFLM-105,3
1123159CFLM-110,1
1123165BRVN-075,1
1123165BRVN-085,1
