codigo,cantidad
E201581,9
E201582,21
E201583,18
E201591,9
E201592,21
E201593,18
E2025812,36
E2025813,30
E501581,15
E501582,60
E501583,51
E501584,6
E501591,18
E501592,90
E501593,66
E501594,15
E501601,9
E501602,45
E501603,36
E501604,6
E504942,27
E504943,21
E504944,6
E504952,51
E504953,45
E5055781,24
E5055782,51
E5055783,18
E5055791,24
E5055792,60
E5055793,18
E5055812,81
E5055813,69
E5055822,36
E5055823,30
E551581,12
E551582,36
E551583,30
E551584,6
E551591,12
E551592,45
E551593,36
E551594,9
E551601,6
E551602,30
E551603,24
E551604,6
E5525781,12
E5525782,27
E5525783,9
E5525812,60
E5525813,45
E5525822,36
E5525823,27
E554942,30
E554943,27
E554944,6
E554952,27
E554953,21
E554954,6
E7511582,36
E7511583,27
E7511591,12
E7511592,48
E7511593,36
E7511594,9
E7514942,30
E7514943,24
E901582,36
E901583,30
E901584,9
E901592,30
E901593,36
E901594,9
E904042,24
E904043,30
E9055852,24
E9055853,30
E9055862,18
E9055863,21
E905692,30
E905693,24
E9065872,30
E9065873,24
E9075842,21
E9075843,18
E951582,36
E951583,30
E951592,36
E951593,30
EC301582,30
EC301583,24
EC301591,6
EC301592,24
EC301593,18
EC301594,6
EC501591,6
EC501592,36
EC501593,27
EC501594,6
EC501602,21
EC501603,15
EC5025812,30
EC5025813,24
PC602502,42
PC602503,30
PC602512,21
PC602513,15
PC6025812,24
PC6025813,18
PF501591,6
PF501592,15
PF501593,12
PF501594,3
