codigo,cantidad
MH321411G-42-A07,24
MH321411G-42-A17,48
MH321371S-42-B19,24
MH321371S-42-B25,24
MW321525G-42-A05,48
MW321525G-42-A19,48
MW321492S-42-B02,96
MW321492S-42-B19,48
MW321492S-42-B25,48
MW122802G-42-A02,48
MW122802G-42-A68,48
AH321309G-42-A02,72
AH321309G-42-A04,24
AH321423G-42-A02,48
AH122892G-42-A61,48
AH321424G-42-A02,24
AH321424G-42-A05,24
MH322015G-42-A02,24
MH322015G-42-A16,24
MH322008G-42-D02,24
MH322008G-42-D16,24
MW322112G-42-A02,96
MW322112G-42-A04,48
MW322112G-42-A12,48
MW322113G-42-A02,48
MW322113G-42-A12,48
MW322116G-42-A02,48
AH322001G-42-A02,48
AH322001G-42-A06,48
AH322003G-42-A02,48
AH322003G-42-A04,24
AW322123G-42-A02,48
AW322122G-42-A02,96
AW322122G-42-A20,48
AW322122G-42-A61,48
AW322102G-42-A02,48
AW322102G-42-A06,48
AW322111G-42-A02,48
AW322111G-42-A04,48
AW322119G-42-A02,48
AW322119G-42-A22,48
AW322125G-42-A02,96
AW322125G-42-A04,48
