codigo,cantidad
CLGCSA-BK006,24
CLGCSA-WH006,96
CLGCSA-NV006,96
CLGCSA-FG006,2
CLGCSA-WN006,2
CLALZCAS-BK003,24
CLALZCAS-WH003,120
CLALZCAS-NV003,24
CLALZCAS-FG003,60
CLGCAS-WN003,24
CLGCSCCPB-CO001,48
CLGCSCCPB-LI001,60
CLGCSCCPB-BRI001,48
CLALZCSCCPB-EM001,36
CLALZCSCCPB-PC001,2
CLALZCSCCPB-RT001,2
CLTRKCSCAB-BK002,48
CLTRKCSCAB-BRI001,2
CLGCC-BK007,24
CLGCC-HD001,2
CLGCC-LI001,90
CLGCC-CC001,90
CLTRKCSSC-V-C-BK001,48
CLTRKCSSC-V-C-LI001,2
CLGCGSC-Winc-BK001,4
CLGCGSC-Winc-HD001,2
CLGCGSC-Winc-PC001,2
CLGCSCLL-BK001,4
CLGCSCLL-VA001,4
CLGCSCLL-DW001,2
CLFSTCSC-ZOF-DS001,12
CLFSTCSC-ZOF-LI001,12
CLRDCSCFS-BRI001,48
CLRDCSCFS-NV002,48
CLBKTHA24-BK001-S/M,12
CLBKTHA24-BK001-L/XL,18
CLBKTHA24-DO001-S/M,12
CLBKTHA24-DO001-L/XL,18
CLBKTHA24-SW001-S/M,12
CLBKTHA24-SW001-L/XL,18
CLFSTVDSC-A24-BK001,72
CLFSTVDSC-A24-OL001,48
CLFSTVDSC-A24-LT001,48
CLPYNCIVC-OL001-S/M,12
CLPYNCIVC-OL001-L/XL,12
CLPYNCIVC-SI001-S/M,12
CLPYNCIVC-SI001-L/XL,12
CLBKTHCIVC-OL001-S/M,2
CLBKTHCIVC-OL001-L/XL,2
CLBKTHCIVC-LI001-S/M,14
CLBKTHCIVC-LI001-L/XL,14
CLBNDCKHCIVC-WH001-S/M,2
CLBNDCKHCIVC-WH001-L/XL,2
CLBNDCKHCIVC-BK001-S/M,2
CLBNDCKHCIVC-BK001-L/XL,2
CLGCTRMC-LI001,24
CLTRKCTRMC-EM001,24
CLALZCTRMC-FN001,24
