codigo,cantidad
1131056DTWGR-065,10
1131056DTWGR-070,12
1131056DTWGR-075,10
1131056DTWGR-080,10
1131056DTWGR-085,44
1131056DTWGR-090,12
1131056DTWGR-100,5
1134150BBLC-070-090,5
1134150BBLC-080-100,5
1134150WCLL-070-090,5
1134150WCLL-080-100,5
1134527BLK-070-090,5
1134527BLK-080-100,5
1134527FCST-080-100,5
1123157SBBK-075,5
1123157SBBK-080,5
1123157SBBK-085,5
1123157SBBK-090,5
1123157SBBK-095,5
1123157SBBK-100,5
1123157SBBK-105,5
1123157SBBK-110,5
1123157SBBK-115,5
1123157SBBK-120,5
1123157SBBK-130,5
1123157TFST-075,5
1123157TFST-080,5
1123157TFST-085,5
1123157TFST-090,5
1123157TFST-095,5
1123157TFST-100,5
1123157TFST-105,5
1123157TFST-110,5
1123157TFST-115,5
1123157TFST-120,5
1123157TFST-130,5
1123158FFCM-060,5
1123158FFCM-065,5
1123158FFCM-070,5
1123158FFCM-075,5
1123158FFCM-080,5
1123158FFCM-085,5
1123158FFCM-090,5
1123158FFCM-100,5
1123158SBBK-060,5
1123158SBBK-065,5
1123158SBBK-070,5
1123158SBBK-075,5
1123158SBBK-080,5
1123158SBBK-085,5
1123158SBBK-090,5
1123158SBBK-100,5
1123161TFST-080,5
1123161TFST-085,5
1123161TFST-090,5
1123161TFST-095,5
1123161TFST-100,5
1123161TFST-105,5
1123161TFST-110,5
1123161TFST-115,5
1123161TFST-120,5
1123161TFST-130,5
1123162SBDP-060,5
1123162SBDP-065,5
1123162SBDP-070,5
1123162SBDP-075,5
1123162SBDP-080,5
1123162SBDP-085,5
1123162SBDP-090,5
1123162SBDP-100,5
1123163IFGB-075,5
1123163IFGB-080,5
1123163IFGB-085,5
1123163IFGB-090,5
1123163IFGB-095,5
1123163IFGB-100,5
1123163IFGB-105,5
1123163IFGB-110,5
1123163IFGB-115,5
1123163IFGB-120,5
1123163IFGB-130,5
1123163MSGB-075,5
1123163MSGB-080,5
1123163MSGB-085,5
1123163MSGB-090,5
1123163MSGB-095,5
1123163MSGB-100,5
1123163MSGB-105,5
1123163MSGB-110,5
1123163MSGB-115,5
1123163MSGB-120,5
1123163MSGB-130,5
1123164BCPPR-060,5
1123164BCPPR-065,5
1123164BCPPR-070,5
1123164BCPPR-075,5
1123164BCPPR-080,5
1123164BCPPR-085,5
1123164BCPPR-090,5
1123164BCPPR-100,5
1123164SSBLV-060,5
1123164SSBLV-065,5
1123164SSBLV-070,5
1123164SSBLV-075,5
1123164SSBLV-080,5
1123164SSBLV-085,5
1123164SSBLV-090,5
1123164SSBLV-100,5
1123192BWHT-075,5
1123192BWHT-080,5
1123192BWHT-085,5
1123192BWHT-090,5
1123192BWHT-095,5
1123192BWHT-100,5
1123192BWHT-105,5
1123192BWHT-110,5
1123192BWHT-115,5
1123192BWHT-120,5
1123192BWHT-130,5
1123192EPSB-075,5
1123192EPSB-080,5
1123192EPSB-085,5
1123192EPSB-090,5
1123192EPSB-095,5
1123192EPSB-100,5
1123192EPSB-105,5
1123192EPSB-110,5
1123192EPSB-115,5
1123192EPSB-120,5
1123192EPSB-130,5
1123193BWHT-060,5
1123193BWHT-065,5
1123193BWHT-070,5
1123193BWHT-075,5
1123193BWHT-080,5
1123193BWHT-085,5
1123193BWHT-090,5
1123193BWHT-100,5
1123193EPSB-060,5
1123193EPSB-065,5
1123193EPSB-070,5
1123193EPSB-075,5
1123193EPSB-080,5
1123193EPSB-085,5
1123193EPSB-090,5
1123193EPSB-100,5
1123194FAYW-075,5
1123194FAYW-080,5
1123194FAYW-085,5
1123194FAYW-090,5
1123194FAYW-095,5
1123194FAYW-100,5
1123194FAYW-105,5
1123194FAYW-110,5
1123194FAYW-115,5
1123194FAYW-120,5
1123194FAYW-130,5
1123194OSBB-075,5
1123194OSBB-080,5
1123194OSBB-085,5
1123194OSBB-090,5
1123194OSBB-095,5
1123194OSBB-100,5
1123194OSBB-105,5
1123194OSBB-110,5
1123194OSBB-115,5
1123194OSBB-120,5
1123194OSBB-130,5
1123195NCBDB-060,5
1123195NCBDB-065,5
1123195NCBDB-070,5
1123195NCBDB-075,5
1123195NCBDB-080,5
1123195NCBDB-085,5
1123195NCBDB-090,5
1123195NCBDB-100,5
1123202BBLC-075,5
1123202BBLC-080,5
1123202BBLC-085,5
1123202BBLC-090,5
1123202BBLC-095,5
1123202BBLC-100,5
1123202BBLC-105,5
1123202BBLC-110,5
1123202BBLC-115,5
1123202BBLC-120,5
1123202BBLC-130,5
1123202GBMS-075,5
1123202GBMS-080,5
1123202GBMS-085,5
1123202GBMS-090,5
1123202GBMS-095,5
1123202GBMS-100,5
1123202GBMS-105,5
1123202GBMS-110,5
1123202GBMS-115,5
1123202GBMS-120,5
1123202GBMS-130,5
1127893MSPBL-075,5
1127893MSPBL-080,5
1127893MSPBL-085,5
1127893MSPBL-090,5
1127893MSPBL-095,5
1127893MSPBL-100,5
1127893MSPBL-105,5
1127893MSPBL-110,5
1127893MSPBL-115,5
1127893MSPBL-120,5
1127893MSPBL-130,5
1127894CPPF-060,5
1127894CPPF-065,5
1127894CPPF-070,5
1127894CPPF-075,5
1127894CPPF-080,5
1127894CPPF-085,5
1127894CPPF-090,5
1127894CPPF-100,5
1127918BGAY-075,5
1127918BGAY-080,5
1127918BGAY-085,5
1127918BGAY-090,5
