codigo,Cantidad
1131170PNYM-035,5
1131170PNYM-045,10
1131170PNYM-040,9
1131170PNYM-055,10
1131170PNYM-050,11
1131170PNYM-065,10
1131170PNYM-060,11
1131170PNYM-070,6
1131170VRTL-035,5
1131170VRTL-045,10
1131170VRTL-040,9
1131170VRTL-055,10
1131170VRTL-050,11
1131170VRTL-065,10
1131170VRTL-060,11
1131170VRTL-070,6
1147650BYT-075,3
1147650BYT-085,6
1147650BYT-080,7
1147650BYT-095,12
1147650BYT-090,13
1147650BYT-105,8
1147650BYT-100,13
1147650BYT-115,3
1147650BYT-110,6
1147650BYT-120,2
1119395IWDB-075,14
1119395IWDB-085,27
1119395IWDB-080,25
1119395IWDB-095,35
1119395IWDB-090,37
1119395IWDB-105,25
1119395IWDB-100,35
1119395IWDB-115,4
1119395IWDB-110,13
1119395IWDB-120,12
1119395IWDB-130,3
1119395VSW-075,52
1119395VSW-085,123
1119395VSW-080,117
1119395VSW-095,185
1119395VSW-090,192
1119395VSW-105,116
1119395VSW-100,190
1119395VSW-115,9
1119395VSW-110,100
1119395VSW-120,61
1119395VSW-130,8
1123202BBLC-085,14
1123202BBLC-080,7
1123202BBLC-095,14
1123202BBLC-090,16
1123202BBLC-105,7
1123202BBLC-100,7
1123202BBLC-110,5
1123202BBLC-120,2
1123202BWHT-075,1
1123202BWHT-085,8
1123202BWHT-080,8
1123202BWHT-095,12
1123202BWHT-090,15
1123202BWHT-105,10
1123202BWHT-100,12
1123202BWHT-115,1
1123202BWHT-110,8
1123202RHD-075,12
1123202RHD-085,31
1123202RHD-080,30
1123202RHD-095,45
1123202RHD-090,49
1123202RHD-105,34
1123202RHD-100,47
1123202RHD-115,3
1123202RHD-110,19
1123202RHD-120,10
1123202RHD-130,3
1123202SHMS-075,2
1123202SHMS-085,31
1123202SHMS-080,20
1123202SHMS-095,37
1123202SHMS-090,38
1123202SHMS-105,23
1123202SHMS-100,28
1123202SHMS-115,5
1123202SHMS-110,17
1123202SHMS-120,6
1123202WBLC-075,3
1123202WBLC-085,6
1123202WBLC-080,7
1123202WBLC-095,12
1123202WBLC-090,14
1123202WBLC-105,8
1123202WBLC-100,12
1123202WBLC-115,3
1123202WBLC-110,5
1123202WBLC-120,1
1123202WBLC-130,1
1127895BBLC-075,38
1127895BBLC-085,103
1127895BBLC-080,95
1127895BBLC-095,167
1127895BBLC-090,165
1127895BBLC-105,99
1127895BBLC-100,171
1127895BBLC-115,6
1127895BBLC-110,88
1127895BBLC-120,49
1127895BBLC-130,3
1127895BWHT-075,2
1127895BWHT-085,31
1127895BWHT-080,20
1127895BWHT-095,38
1127895BWHT-090,41
1127895BWHT-105,24
1127895BWHT-100,27
1127895BWHT-115,2
1127895BWHT-110,21
1127895BWHT-120,2
1127895CRSCL-075,4
1127895CRSCL-085,26
1127895CRSCL-080,19
1127895CRSCL-095,41
1127895CRSCL-090,45
1127895CRSCL-105,24
1127895CRSCL-100,37
1127895CRSCL-115,4
1127895CRSCL-110,20
1127895CRSCL-120,3
1127895CRSCL-130,1
1127895HMBC-075,11
1127895HMBC-085,36
1127895HMBC-080,35
1127895HMBC-095,56
1127895HMBC-090,68
1127895HMBC-105,30
1127895HMBC-100,64
1127895HMBC-115,5
1127895HMBC-110,36
1127895HMBC-120,15
1127895HMBC-130,4
1127895NCWT-075,4
1127895NCWT-085,29
1127895NCWT-080,19
1127895NCWT-095,38
1127895NCWT-090,39
1127895NCWT-105,23
1127895NCWT-100,28
1127895NCWT-115,4
1127895NCWT-110,18
1127895NCWT-120,4
1127895NCWT-130,2
1127895OKB-075,2
1127895OKB-085,9
1127895OKB-080,5
1127895OKB-095,14
1127895OKB-090,15
1127895OKB-105,11
1127895OKB-100,14
1127895OKB-115,4
1127895OKB-110,8
1127895OKB-120,5
1127895OKB-130,1
1127895SRSH-075,5
1127895SRSH-085,41
1127895SRSH-080,34
1127895SRSH-095,82
1127895SRSH-090,74
1127895SRSH-105,43
1127895SRSH-100,81
1127895SRSH-115,5
1127895SRSH-110,50
1127895SRSH-120,19
1127895SRSH-130,2
1127895VRTL-075,45
1127895VRTL-085,102
1127895VRTL-080,102
1127895VRTL-095,148
1127895VRTL-090,172
1127895VRTL-105,95
1127895VRTL-100,162
1127895VRTL-115,10
1127895VRTL-110,75
1127895VRTL-120,43
1127895VRTL-130,5
