codigo,cantidad
E201591,21
E201592,12
E201593,6
E501581,30
E501582,9
E501584,6
E501591,39
E501592,15
E501593,9
E501601,30
E501603,15
E501604,6
E504941,21
E504943,12
E504951,42
E504952,12
E5055781,30
E5055782,21
E5055823,15
E5055822,21
E5055823,15
E551581,15
E551583,12
E551591,30
E551592,24
E551593,24
E551594,6
E551601,21
E551602,18
E551603,12
E5525781,36
E5525782,30
E5525783,27
E5525801,36
E5525802,51
E5525803,45
E554941,21
E554943,30
E904043,12
E9055852,18
E9055853,15
E9055862,30
E9055863,24
E9065872,21
E9065873,21
E9065882,45
E9065883,30
EC301591,15
EC301593,6
EC301594,6
EC501591,21
EC501593,12
EC501594,12
EC504931,21
EC504932,18
EC504942,24
EC504943,27
PC602513,6
PF251592,6
PF251593,9
