codigo,cantidad
1110511EBWH-060,1
1119393ACTL-080,6
1119393ACTL-085,24
1119393ACTL-090,24
1119393ACTL-095,31
1119393ACTL-100,21
1119393ACTL-105,10
1119393ACTL-110,4
1119393ACTL-120,4
1119393BBLC-085,6
1119393BBLC-090,7
1119393BBLC-095,3
1119393BBLC-110,2
1119393BBLC-115,1
1119393BBLC-120,1
1119393BCBT-085,1
1119393BCBT-090,4
1119393BCBT-095,1
1119393BCBT-110,1
1119393BWHT-080,5
1119393BWHT-085,11
1119393BWHT-090,18
1119393BWHT-095,20
1119393BWHT-100,20
1119393BWHT-105,11
1119393BWHT-110,4
1119393BWHT-120,5
1119393GBMS-080,5
1119393GBMS-085,20
1119393GBMS-090,21
1119393GBMS-095,25
1119393GBMS-100,25
1119393GBMS-105,22
1119393GBMS-110,6
1119393GBMS-120,6
1119393LRNC-100,1
1119393RTAR-110,1
1119393RYMZ-080,15
1119393RYMZ-085,34
1119393RYMZ-090,41
1119393RYMZ-095,44
1119393RYMZ-100,44
1119393RYMZ-105,33
1119393RYMZ-110,11
1119393RYMZ-120,10
1119394ACPP-060,4
1119394ACPP-065,1
1119394ACPP-070,4
1119394ACPP-075,3
1119394ACPP-080,4
1119394ACPP-085,4
1119394ACPP-090,2
1119394ACPP-100,1
1119394AEBL-070,1
1119394AEBL-080,1
1119394AEBL-090,1
1119394BFPA-080,2
1119394BFPA-095,1
1119394BGIR-070,1
1119394BGIR-075,1
1119394BGIR-080,1
1119394BGIR-085,1
1119394BGIR-095,2
1119394BWHT-065,1
1119394BWHT-080,1
1119394BWHT-100,1
1119394FBLN-090,1
1119394GWBY-060,14
1119394GWBY-065,15
1119394GWBY-070,18
1119394GWBY-075,14
1119394GWBY-080,20
1119394GWBY-085,15
1119394GWBY-090,12
1119394SBSCR-060,8
1119394SBSCR-065,18
1119394SBSCR-070,16
1119394SBSCR-075,25
1119394SBSCR-080,20
1119394SBSCR-085,19
1119394SBSCR-090,12
1119394SSIF-065,2
1119394SSIF-075,2
1119394SSIF-080,1
1119394SSIF-085,3
