codigo,cantidad
1122018BBLC-075,4.00
1122018BBLC-080,9.00
1122018BBLC-085,11.00
1122018BBLC-090,23.00
1122018BBLC-095,23.00
1122018BBLC-100,23.00
1122018BBLC-105,18.00
1122018BBLC-110,16.00
1122018BBLC-115,14.00
1122018BBLC-120,8.00
1122018BBLC-130,3.00
1127912BBLC-075,3.00
1127912BBLC-080,34.00
1127912BBLC-085,48.00
1127912BBLC-090,79.00
1127912BBLC-095,73.00
1127912BBLC-100,80.00
1127912BBLC-105,59.00
1127912BBLC-110,46.00
1127912BBLC-115,13.00
1127912BBLC-120,16.00
1127912BBLC-130,3.00
1127912FTHY-075,2.00
1127912FTHY-080,12.00
1127912FTHY-085,18.00
1127912FTHY-090,31.00
1127912FTHY-095,31.00
1127912FTHY-100,33.00
1127912FTHY-105,27.00
1127912FTHY-110,19.00
1127912FTHY-115,7.00
1127912FTHY-120,4.00
1127912FTHY-130,1.00
1127918BBLC-080,8.00
1127918BBLC-085,17.00
1127918BBLC-090,25.00
1127918BBLC-095,25.00
1127918BBLC-100,25.00
1127918BBLC-105,20.00
1127918BBLC-110,13.00
1127918BBLC-115,6.00
1127918BBLC-120,5.00
