codigo,cantidad
1123195PABF-060,3
1123195PABF-065,3
1123195PABF-070,6
1123195PABF-075,10
1123195PABF-080,12
1123195PABF-085,6
1123195PABF-090,3
1123198BBGP-075,2
1123198BBGP-080,9
1123198BBGP-085,13
1123198BBGP-090,19
1123198BBGP-095,20
1123198BBGP-100,20
1123198BBGP-105,16
1123198BBGP-110,13
1123198BBGP-115,6
1123198BBGP-120,3
1123198BBGP-130,1
1123153BBLC-080,9
1123153BBLC-085,14
1123153BBLC-090,22
1123153BBLC-095,16
1123153BBLC-100,19
1123153BBLC-105,13
1123153BBLC-110,11
1123153BBLC-115,5
1123153BBLC-120,4
1123153BBLC-130,2
1123153CKBC-080,9
1123153CKBC-085,15
1123153CKBC-090,20
1123153CKBC-095,17
1123153CKBC-100,20
1123153CKBC-105,11
1123153CKBC-110,9
1123153CKBC-115,5
1123153CKBC-120,8
1123153CKBC-130,2
1123154EEGG-060,11
1123154EEGG-065,13
1123154EEGG-070,22
1123154EEGG-075,17
1123154EEGG-080,22
1123154EEGG-085,13
1123154EEGG-090,6
1123154EEGG-095,1
1123154EEGG-100,2
1123157DLCR-075,3
1123157DLCR-080,10
1123157DLCR-085,16
1123157DLCR-090,25
1123157DLCR-095,24
1123157DLCR-100,26
1123157DLCR-105,22
1123157DLCR-110,18
1123157DLCR-115,10
1123157DLCR-120,8
1123157DLCR-130,2
1123157SBDCT-075,6
1123157SBDCT-080,59
1123157SBDCT-085,87
1123157SBDCT-090,139
1123157SBDCT-095,128
1123157SBDCT-100,144
1123157SBDCT-105,114
1123157SBDCT-110,80
1123157SBDCT-115,32
1123157SBDCT-120,35
1123157SBDCT-130,3
1123158DLCR-060,41
1123158DLCR-065,64
1123158DLCR-070,88
1123158DLCR-075,79
1123158DLCR-080,84
1123158DLCR-085,59
1123158DLCR-090,19
1123158DLCR-100,5
1127952CVPL-060,4
1127952CVPL-065,11
1127952CVPL-070,18
1127952CVPL-075,16
1127952CVPL-080,15
1127952CVPL-085,13
1127952CVPL-090,10
1127952CVPL-100,6
1134497BBSBL-075,4
1134497BBSBL-080,46
1134497BBSBL-085,72
1134497BBSBL-090,111
1134497BBSBL-095,92
1134497BBSBL-100,113
1134497BBSBL-105,80
1134497BBSBL-110,57
1134497BBSBL-115,12
1134497BBSBL-120,18
1134497BBSBL-130,1
1134497CVOR-075,5
1134497CVOR-080,55
1134497CVOR-085,82
1134497CVOR-090,127
1134497CVOR-095,109
1134497CVOR-100,129
1134497CVOR-105,92
1134497CVOR-110,66
1134497CVOR-115,15
1134497CVOR-120,21
1134497CVOR-130,2
1134497PFGY-080,7
1134497PFGY-085,11
1134497PFGY-090,19
1134497PFGY-095,19
1134497PFGY-100,19
1134497PFGY-105,12
1134497PFGY-110,8
1134497PFGY-115,1
1134497PFGY-120,1
1134497SBEP-075,5
1134497SBEP-080,27
1134497SBEP-085,30
1134497SBEP-090,57
1134497SBEP-095,47
1134497SBEP-100,58
1134497SBEP-105,41
1134497SBEP-110,35
1134497SBEP-115,8
1134497SBEP-120,10
1134497SBEP-130,5
1134498CVOR-060,50
1134498CVOR-065,73
1134498CVOR-070,104
1134498CVOR-075,90
1134498CVOR-080,98
1134498CVOR-085,68
1134498CVOR-090,35
1134498CVOR-100,4
1134498MGTR-060,40
1134498MGTR-065,46
1134498MGTR-070,74
1134498MGTR-075,62
1134498MGTR-080,57
1134498MGTR-085,45
1134498MGTR-090,12
1134498MGTR-100,3
1134498WMCY-060,16
1134498WMCY-065,18
1134498WMCY-070,28
1134498WMCY-075,24
1134498WMCY-080,28
1134498WMCY-085,23
1134498WMCY-090,10
1134498WMCY-100,1
