codigo,cantidad
ALZCSCSST-PO001,12
ALZCSCSST-RS001,24
CLALZAS-KA001,24
CLALZAS-LG001,24
CLALZCCIVC-DW001,2
CLALZCCIVC-SF001,2
CLALZCCIVC-TL001,2
CLALZCCSM-BL001,12
CLALZCCSM-PU001,24
CLALZCEQ-KA001,2
CLALZCEQ-RD001,2
CLALZCEQ-WH001,2
CLALZCMOR-TL001,24
CLALZCORPS-FG001,24
CLALZCORPS-IS001,24
CLALZCORPS-MT001,24
CLALZCSCAS-LT001,4
CLALZCSCAS-SG002,4
CLALZCSCAS-WH002,24
CLALZCSCCPL-KA001,12
CLALZCSCPAK-FG001,4
CLALZCSCPL-BK001,36
CLALZCSCPL-FI001,6
CLALZCSCPL-LT001,6
CLALZCSCPL-PR001,6
CLALZSCAS-GRY001,24
CLALZSCAS-IS001,48
CLALZSCAS-SG001,24
CLALZSCCORPS-BK001,96
CLALZSCCS-OL001,24
CLALZSCCS-WH001,48
CLBKTHDFL-BK001-L/XL,6
CLBKTHDFL-BK001-S/M,6
CLBNDCKHCIVC-SF001-L/XL,4
CLBNDCKHCIVC-SF001-S/M,4
CLBNDCKHCIVC-TL001-L/XL,4
CLBNDCKHCIVC-TL001-S/M,4
CLFSTC2RMSM-BK001,2
CLFSTC2RMSM-OC001,2
CLFSTVDSC-GRN001,24
CLFSTVDSC-RY001,0
CLGCAS-BK003-23D1,24
CLGCAS-FG003-23D1,24
CLGCAS-WH003-23D1,24
CLGCAS-WN003-23D1,24
CLGCC-BK005,24
CLGCC-BK006,36
CLGCC-EB001,12
CLGCC-KA001,48
CLGCC-NV002,48
CLGCC-PU001,12
CLGCC-SG001,36
CLGCC-WH003,48
CLGCCPB-FG002,36
CLGCCPB-IR001,12
CLGCCPB-WH002,5
CLGCCSPL-SF001,24
CLGCCSPL-TL001,24
CLGCCV-FG001,24
CLGCDFL-BK001,36
CLGCDFL-GO001,24
CLGCIB-BK002,96
CLGCIB-IS001,24
CLGCMC-BK001,36
CLGCMC-FG001,36
CLGCMC-WH001,4
CLGCSA-BK001-FT,96
CLGCSA-FG001-FT,24
CLGCSA-FG002,24
CLGCSA-GR001,48
CLGCSA-NV001-FT,48
CLGCSA-PO001,48
CLGCSA-WH001-FT,48
CLGCSA-WI001-FT,24
CLGCSCA-BM001,24
CLGCSCA-SF001,24
CLGCSCA-WH002,24
CLGCSCBPL-BK001,24
CLGCSCIS-IS001,12
CLGCSCSA-BK002,96
CLGCSCSA-BK004,48
CLGCSCSA-KA001,46
CLGCSCSL-LG001,48
CLGCSCSR-BK001,24
CLGCSCSR-LG001,12
CLRDCSCVB-KA001,24
CLRPDVSCAC-IS001,12
CLTRKCSCAB-IG001,5
CLTRKCSCAB-SG001,5
CLTRKCSCC-KA001,2
CLTRKCSCC-WH001,48
CLTRKCSCC-WH002,12
CLTRKCSCEV-TL002,24
CLTRKSCAB-BK001,48
,
