codigo,cantidad
E201581,6
E201582,12
E201583,9
E201591,6
E201592,18
E201593,12
E501581,6
E501582,45
E501583,36
E501584,6
E501591,12
E501592,51
E501593,36
E501594,6
E501601,6
E501602,30
E501603,24
E501604,3
E504952,39
E504953,27
E551581,9
E551582,33
E551583,27
E551584,6
E551591,12
E551592,45
E551593,33
E551594,6
E551601,6
E551602,24
E551603,18
E551604,3
E554942,27
E554943,21
E901582,30
E901583,24
E901584,6
E901592,36
E901593,30
E901594,9
E951582,21
E951583,15
E951592,30
E951593,24
EC301582,30
EC301583,24
EC301591,6
EC301592,24
EC301593,18
EC301594,6
EC501591,6
EC501592,36
EC501593,27
EC501594,6
EC501602,21
EC501603,15
E2025812,24
E2025813,18
E5055781,18
E5055782,33
E5055783,12
E5055791,12
E5055792,21
E5055793,12
E5055812,45
E5055813,36
E5055822,27
E5055823,21
E5525781,15
E5525782,30
E5525783,12
E5525812,30
E5525813,24
E5525822,21
E5525823,18
E554952,30
E554953,21
E554954,6
E7511582,36
E7511583,27
E7511591,12
E7511592,48
E7511593,36
E7511594,9
E7514942,30
E7514943,24
E9055852,24
E9055853,21
E9055862,18
E9055863,15
E9065872,24
E9065873,21
E9075842,18
E9075843,15
EC5025812,30
EC5025813,24
