codigo,cantidad
26SYLVIE04L-BKA-060,0
26SYLVIE04L-BKA-070,2
26SYLVIE04L-BKA-075,2
26SYLVIE04L-BKA-080,4
26SYLVIE04L-BKA-085,0
26SYLVIE04L-BKA-090,2
26SYLVIE04L-BKA-100,2
26SYLVIE04L-BKA-110,0
ALOHA19L-BKA-060,12
ALOHA19L-BKA-070,12
ALOHA19L-BKA-080,12
ALOHA19L-BKA-090,12
ALOHA19L-BKA-100,12
ALOHA19L-BKA-110,12
ALOHA04L-PKA-060,8
ALOHA04L-PKA-070,8
ALOHA04L-PKA-080,8
ALOHA04L-PKA-090,8
ALOHA04L-PKA-100,8
ALOHA04L-PKA-110,8
BILLIE121L-WHA-060,3
BILLIE121L-WHA-070,3
BILLIE121L-WHA-075,3
BILLIE121L-WHA-080,6
BILLIE121L-WHA-085,6
BILLIE121L-WHA-090,6
BILLIE121L-WHA-100,6
BILLIE121L-WHA-110,3
KYLIE200L-BKA-060,2
KYLIE200L-BKA-070,2
KYLIE200L-BKA-075,2
KYLIE200L-BKA-080,4
KYLIE200L-BKA-085,4
KYLIE200L-BKA-090,4
KYLIE200L-BKA-100,4
KYLIE200L-BKA-110,2
MIKA01L-BKA-060,8
MIKA01L-BKA-070,8
MIKA01L-BKA-080,8
MIKA01L-BKA-090,8
MIKA01L-BKA-100,8
MIKA01L-BKA-110,8
