codigo,cantidad
1151071BAR-XS,6
1151071BAR-S,18
1151071BAR-M,24
1151071BAR-L,9
1151071BAR-XL,3
1151071ARA-XS,6
1151071ARA-S,18
1151071ARA-M,24
1151071ARA-L,9
1151071ARA-XL,3
1151071WHT-XS,6
1151071WHT-S,18
1151071WHT-M,24
1151071WHT-L,9
1151071WHT-XL,3
1151084EGN-XS,12
1151084EGN-S,24
1151084EGN-M,18
1151084EGN-L,6
1151082BLK-XS,12
1151082BLK-S,24
1151082BLK-M,18
1151082BLK-L,6
1151070BAR-XS,6
1151070BAR-S,18
1151070BAR-M,24
1151070BAR-L,9
1151070BAR-XL,3
1151072BLK-XS,6
1151072BLK-S,18
1151072BLK-M,24
1151072BLK-L,9
1151072BLK-XL,3
1151084PAY-XS,12
1151084PAY-S,24
1151084PAY-M,18
1151084PAY-L,6
1151083MIR-XS,12
1151083MIR-S,24
1151083MIR-M,18
1151083MIR-L,6
1151071BLK-XS,6
1151071BLK-S,18
1151071BLK-M,24
1151071BLK-L,9
1151071BLK-XL,3
1151082PAY-XS,12
1151082PAY-S,24
1151082PAY-M,18
1151082PAY-L,6
1151070BLK-XS,6
1151070BLK-S,18
1151070BLK-M,24
1151070BLK-L,9
1151070BLK-XL,3
1151084BLK-XS,12
1151084BLK-S,24
1151084BLK-M,18
1151084BLK-L,6
