codigo,cantidad
E201581,6
E201582,18
E201583,12
E201591,6
E201592,21
E201593,15
E251582,15
E251583,9
E251592,21
E251593,18
E50126331,15
E50126332,48
E50126333,27
E50126371,12
E50126372,60
E50126373,48
E501581,6
E501582,27
E501583,21
E501584,3
E501591,6
E501592,39
E501593,27
E501594,3
E501601,6
E501602,30
E501603,24
E501604,3
E504941,3
E504942,27
E504943,21
E504944,3
E504951,3
E504952,27
E504953,21
E504954,3
E551581,6
E551582,27
E551583,21
E551584,3
E551591,6
E551592,33
E551593,27
E551594,3
E551601,6
E551602,24
E551603,18
E551604,3
E554942,24
E554943,18
E554952,24
E554953,18
E5556331,15
E5556332,33
E5556333,21
E5556371,6
E5556372,39
E5556373,30
E901582,18
E901583,15
E901584,3
E901592,27
E901593,21
E901594,3
E904042,12
E904043,9
E905692,12
E905693,9
E9065882,30
E9065883,24
E9075832,30
E9075833,24
E951582,18
E951583,12
E951592,24
E951593,18
EC2016472,24
EC2016473,18
EC2016491,9
EC2016492,21
EC2016493,15
EC501591,6
EC501592,24
EC501593,18
EC501594,3
EC501602,18
EC501603,12
EC9016471,6
EC9016472,21
EC9016473,15
EC9016474,3
EC9016481,6
EC9016482,18
EC9016483,9
EC9026412,15
EC9026413,12
EC9026422,21
EC9026423,18
EC9036432,30
EC9036433,24
EC9036441,12
EC9036442,24
EC9036443,18
EC9046451,6
EC9046452,21
EC9046453,12
EC9046462,18
EC9046463,15
