codigo,cantidad
CLGCCPB-DW001,48
CLGCCPB-FI001,72
CLGCCPB-LT002,48
CLGCSCBX-DU001,48
CLGCSCBX-BL001,48
CLALZCSCAS-DU001,60
CLALZCSCAS-BK003,72
CLALZCSCAS-PU001,24
CLTRKCSCBX-FG001,60
CLTRKCSCBX-RS001,60
CLGCCA-BK001,96
CLGCCA-BM001,48
CLGCCA-LT001,48
CLGCSCIP-PR001,60
CLGCSCIP-DW001,96
CLGCSCIP-OL001,60
CLALZCEQ-NV001,60
CLALZCEQ-RD002,24
CLALZCEQ-DB001,24
CLFSTCSCCS-DW001,24
CLFSTCSCCS-TL001,24
CLFSTCSCCS-BK001,48
CLTRKCSCZOF-OL001,60
CLTRKCSCZ-BK001,72
CLFSTC2RMSM-DB001,12
CLFSTC2RMSM-PR001,12
CLGCOV-BK001,72
CLGCOV-BK002,60
CLGCOV-OL001,48
CLGCSCWIC-BK001,24
CLGCSCWIC-WH001,24
CLGCSCWIC-OC001,24
CLALZCCIVC-RS001,24
CLALZCCIVC-BK001,24
CLGCSHUI-WH001,30
CLWBKTHIA-BK001-S/M,10
CLWBKTHIA-BK001-L/XL,10
CLWBKTHIA-OL001-S/M,10
CLWBKTHIA-OL001-L/XL,10
CLWBKTHIA-OC001-S/M,10
CLWBKTHIA-OC001-L/XL,10
